id,first_name,last_name,age,parent_1,parent_2,phone,attendance,days_membership
61953071,Farrell,Dowdam,13,Ursuline,Lincoln,978-566-4093,180,180
94539742,Mae,Bazelle,16,Rachel,,978-158-4549,180,180
43022978,Amby,Abramovitz,17,Zorana,Iggie,978-284-2780,180,180
621693361,Zebulen,Marling,5,Abbe,Isa,978-120-4564,79,180
24265284,Jarrett,Douse,17,Maddie,Sig,978-242-6905,180,180
89140211,Page,McBryde,11,Wilone,Hale,978-909-7048,180,180
89156041,Zeke,Powlesland,10,Nikaniki,,978-902-3118,180,180
34884237,Amelina,Seeking,16,Ailee,Niven,978-323-1896,180,180
56260478,Delcine,Van Der Weedenburg,16,Annadiane,Milo,978-079-1509,48,180
992745683,Katrinka,Seide,7,Samson,Jemie,978-077-0638,180,180
14213930,Tabbitha,Gianuzzi,20,Kamillah,Otis,978-704-1087,,
424343540,Dulcine,Reglar,8,Mala,,978-539-9660,180,180
83965327,Katie,Kiss,20,Bobbe,Gerard,978-174-8263,,
68872945,Katina,Nazer,22,Marieann,Trever,978-315-8143,,
37271452,Mahalia,Coleshill,22,Carla,Bradney,978-987-7682,,
55165820,Frayda,Morecomb,14,Cristine,Muffin,978-624-8399,180,180
56921103,Conway,Izaac,13,Sherrie,,978-988-1399,176,180
106156157,Archy,Felgat,5,Hailee,Dorothea,978-837-4377,59,180
83158491,Rudyard,Leifer,12,Harmony,Lenci,978-865-6708,180,180
415090506,Renault,Brownsmith,6,Zondra,Kellie,978-353-1853,180,180
28610970,Teddy,Beese,16,Annabella,Olivier,978-012-9973,180,180
86065980,Byram,Bradberry,15,Jeannette,Amos,978-086-4202,180,180
12089176,Aggi,Ferrillio,15,Collete,,978-850-9945,180,180
368518506,Charis,Kings,7,Lyn,Morrie,978-043-3928,180,180
52904589,Royall,Singh,14,Hildegaard,Sancho,978-231-8886,55,180
76213643,Winfield,Jedrzejewsky,17,Rosmunda,Bartholomew,978-561-7068,101,180
79616605,Jerrome,Huburn,17,Allyn,Lonnard,978-650-2948,180,180
69473221,Ethelred,Dan,13,Beryle,Mic,978-546-4713,180,180
99783457,Reinwald,Felten,21,Happy,Roi,978-726-7885,,
54563999,Chane,Schohier,12,Terri-jo,Emmett,978-645-7755,180,180
5476665,Lorilee,Pescud,19,Ivory,,978-227-4143,,
897114322,Moritz,Lentsch,8,Cris,,978-775-3112,180,180
58372373,Clarine,Smallpiece,16,Lina,Dew,978-818-2809,180,180
91522857,Moreen,Mc Corley,22,Barbra,Ludovico,978-485-9041,,
853759093,Hank,Montilla,8,Brooke,Chrotoem,978-800-2433,175,180
44549833,Roderigo,Blowin,16,Loise,Christoph,978-216-8028,180,180
688150398,Horst,Crocroft,5,Jessalin,Gaylord,978-549-4723,180,180
63104728,Currey,Samudio,6,Julian,Blaine,978-841-6332,180,180
92331606,Henry,Hughs,20,Elie,Con,978-106-8694,,
15980620,Myranda,Tregear,19,Ami,,978-875-8651,,
61398059,Marja,Greenshields,18,Merrie,Neville,978-859-3618,180,180
31986847,Sebastien,Sprake,21,Dede,,978-752-9303,,
