id,first_name,last_name,age,parent_1,parent_2,phone,attendance,days_membership,teacher_Name,t_school,t_grade
25245086,Freeland,Antunez,10,Dorette,Shurlocke,978-388-4279,180,180,Rice,Consentino,5
82870720,Mace,Phillis,10,Linnell,,978-512-9423,180,180,Rice,Consentino,5
11610852,Xenos,Macilhench,10,Mathilda,Kellby,978-991-7055,180,180,Rice,Consentino,5
25256990,Barby,Coles,10,Shanda,Vale,978-895-8389,180,180,Rice,Consentino,5
54860267,Alley,Featherstone,10,Faydra,Quill,978-376-9490,180,180,Rice,Consentino,5
4266216,Dianna,Cowap,10,Pearl,Glen,978-433-4532,180,180,Rice,Consentino,5
48235403,Adelice,Mee,10,Marcela,Hugo,978-348-3887,180,180,Rice,Consentino,5
22097074,Karena,Charlon,10,Heidie,Burl,978-437-9174,180,180,Rice,Consentino,5
96510622,Leslie,Cosh,10,Maxy,Reilly,978-575-8258,180,180,Rice,Consentino,5
17180500,Em,Danielczyk,10,Row,,978-564-6514,180,180,Rice,Consentino,5
80402768,Cyrill,Shuxsmith,10,Joell,Bertrand,978-977-0115,180,180,Rice,Consentino,5
38519532,Esme,Deniske,10,Hailee,Reynard,978-387-2688,180,180,Rice,Consentino,5
10093409,Shanon,Lilleyman,10,Deane,,978-835-4177,180,180,Rice,Consentino,5
48220533,Alida,Whiteford,10,Aindrea,Thedrick,978-572-6388,180,180,Rice,Consentino,5
99274561,Kym,Lefever,10,Bernie,,978-122-8168,180,180,Rice,Consentino,5
44898568,Gillan,Tuting,10,Aleece,Reube,978-360-6476,180,180,Rice,Consentino,5
76896310,Haskell,Mountlow,10,Denny,,978-237-8385,180,180,Rice,Consentino,5
76552027,Edmund,Speare,10,Anthia,Lefty,978-089-3715,1,180,Rice,Consentino,5
31100633,Camella,Prott,10,Caryl,Huberto,978-711-4954,180,180,Rice,Consentino,5
73279029,Yasmin,Brookes,10,Renata,,978-354-2295,180,180,Rice,Consentino,5
34033296,Sabina,Beddis,10,Mitzi,Godfry,978-387-3088,180,180,Rice,Consentino,5
29334261,Sarah,Gedney,10,Cassondra,Gannon,978-917-0828,180,180,Rice,Consentino,5
31549012,Ron,Portwaine,10,Julie,Vittorio,978-605-8690,180,180,Rice,Consentino,5
53835823,Lind,Creaser,10,Kimmie,Gaelan,978-307-0148,180,180,Rice,Consentino,5
47602424,Mar,MacFadzan,10,Johnna,,978-851-0818,180,180,Rice,Consentino,5
37877070,Saxon,Slorance,10,Cosetta,,978-408-6824,175,180,Rice,Consentino,5
42855142,Jeremiah,Corriea,10,Jasmina,Itch,978-513-4388,180,180,Rice,Consentino,5
82705248,Rubetta,Murrie,10,Hynda,,978-045-2642,148,180,Rice,Consentino,5
54980435,Mark,Sieve,10,Moira,,978-360-8656,180,180,Brown,Consentino,5
12394527,Hedy,Rubinsohn,10,Jocelyn,,978-492-3260,180,180,Brown,Consentino,5
28998830,Monika,Charley,10,Lissy,Cully,978-437-7626,180,180,Brown,Consentino,5
74167619,Caren,Fabb,10,Dix,Jarib,978-896-4639,180,180,Brown,Consentino,5
43590555,Brigid,Brissenden,10,Freddy,Nevin,978-765-2182,175,180,Brown,Consentino,5
57708794,Nicholle,Trill,10,Hilde,,978-059-9735,180,180,Brown,Consentino,5
53387030,Devlen,Moogan,10,Devora,Prince,978-876-2127,180,180,Brown,Consentino,5
29858053,Avril,Rollett,10,Charissa,Sylvan,978-343-6683,180,180,Brown,Consentino,5
76953003,Fitz,Ribbens,10,Marci,,978-146-0991,175,180,Brown,Consentino,5
39732925,Pauline,Gilbeart,10,Babb,,978-687-2115,180,180,Brown,Consentino,5
7293334,Hilton,O'Neill,10,Orel,Mace,978-740-4589,180,180,Brown,Consentino,5
35956689,Timmie,Struys,10,Candice,Lane,978-314-8983,180,180,Brown,Consentino,5
22135837,Karel,Nenci,10,Bonnibelle,Xymenes,978-260-3437,180,180,Brown,Consentino,5
44419077,Damian,Bockmann,10,Dominica,Kenon,978-117-1323,180,180,Brown,Consentino,5
61839676,Ailsun,Jacombs,10,Corabelle,Desmund,978-988-3545,180,180,Brown,Consentino,5
67650621,Kristoforo,Cottier,10,Darcee,Abey,978-635-2279,180,180,Brown,Consentino,5
26722687,Salim,Ramelot,10,Nedi,Ryon,978-173-2664,180,180,Brown,Consentino,5
35937645,Freedman,Wybron,10,Iseabal,,978-786-0504,180,180,Brown,Consentino,5
8492,Aurlie,Hayto,10,Carine,Bancroft,978-029-9660,180,180,Brown,Consentino,5
21371330,Ferrel,Molines,10,Helen,Kort,978-869-8555,180,180,Brown,Consentino,5
36975578,Marti,Grogan,10,Joyous,,978-967-7365,180,180,Brown,Consentino,5
39960445,Gaby,Cockrem,10,Hortense,Peyton,978-674-4842,180,180,Brown,Consentino,5
